Pick Out,Family,Name (Stat Block),Name (As in Rule Book),AC:,Special,HD:,HD Sort #:,# Atk: ,Damage: ,Mvmt: ,# App: ,Save As: ,Morale: ,Treasure:,XP: ,Source,Quick Stats (Parenthesis),Quick Stats (Colon:),Parenthesis Text only,Colon Text only,Check vs. Rulebook
9,HORSE,Alicorn,Alicorn,19,,4*,4,2 hooves/1 horn,2d4/2d4/2d6,70',Wild 1d8,F6,9,,280,Rulebook,"Alicorn (AC 19, HD 4*, #At 2 hooves/1 horn, Dam 2d4/2d4/2d6, Mv 70', Sv F6, Ml 9)","Alicorn: AC 19, HD 4*, #At 2 hooves/1 horn, Dam 2d4/2d4/2d6, Mv 70', Sv F6, Ml 9","Alicorn (AC 19, HD 4*, #At 2 hooves/1 horn, Dam 2d4/2d4/2d6, Mv 70', Sv F6, Ml 9)","Alicorn: AC 19, HD 4*, #At 2 hooves/1 horn, Dam 2d4/2d4/2d6, Mv 70', Sv F6, Ml 9","Alicorn: AC 19, HD 4*, #At 2 hooves/1 horn, Dam 2d4/2d4/2d6, Mv 70', Sv F6, Ml 9, XP 280, #Ap Wild 1d8"
9,INSECT,Giant Ant,"Ant, Giant",17,,4,4,1 bite,2d6,60' (10'),2d6 Wild 2d6 Lair 4d6,F4,"7 on first sighting, 12 after engaged",U or special,240,Rulebook,"Giant Ant (AC 17, HD 4, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F4, Ml 7 on first sighting, 12 after engaged)","Giant Ant: AC 17, HD 4, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F4, Ml 7 on first sighting, 12 after engaged","Giant Ant (AC 17, HD 4, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F4, Ml 7 on first sighting, 12 after engaged)","Giant Ant: AC 17, HD 4, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F4, Ml 7 on first sighting, 12 after engaged","Ant, Giant: AC 17, HD 4, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F4, Ml 7 on first sighting, 12 after engaged, XP 240, #Ap 2d6 Wild 2d6 Lair 4d6"
9,ANIMAL,Antelope,Antelope,13,,1 to 4,1 to 4,1 butt,1d4 or 1d6 or 1d8,80' (10'),Wild 3d10,F1 to F4 (as Hit Dice),5 (7),,25 - 240,Rulebook,"Antelope (AC 13, HD 1 to 4, #At 1 butt, Dam 1d4 or 1d6 or 1d8, Mv 80' (10'), Sv F1 to F4 (as Hit Dice), Ml 5 (7))","Antelope: AC 13, HD 1 to 4, #At 1 butt, Dam 1d4 or 1d6 or 1d8, Mv 80' (10'), Sv F1 to F4 (as Hit Dice), Ml 5 (7)","Antelope (AC 13, HD 1 to 4, #At 1 butt, Dam 1d4 or 1d6 or 1d8, Mv 80' (10'), Sv F1 to F4 (as Hit Dice), Ml 5 (7))","Antelope: AC 13, HD 1 to 4, #At 1 butt, Dam 1d4 or 1d6 or 1d8, Mv 80' (10'), Sv F1 to F4 (as Hit Dice), Ml 5 (7)","Antelope: AC 13, HD 1 to 4, #At 1 butt, Dam 1d4 or 1d6 or 1d8, Mv 80' (10'), Sv F1 to F4 (as Hit Dice), Ml 5 (7), XP 25 - 240, #Ap Wild 3d10"
9,ANIMAL,Carnivorous Ape,"Ape, Carnivorous",14,,4,4,2 claws,1d4/1d4,40',1d6 Wild/Lair 2d4,F4,7,,240,Rulebook,"Carnivorous Ape (AC 14, HD 4, #At 2 claws, Dam 1d4/1d4, Mv 40', Sv F4, Ml 7)","Carnivorous Ape: AC 14, HD 4, #At 2 claws, Dam 1d4/1d4, Mv 40', Sv F4, Ml 7","Carnivorous Ape (AC 14, HD 4, #At 2 claws, Dam 1d4/1d4, Mv 40', Sv F4, Ml 7)","Carnivorous Ape: AC 14, HD 4, #At 2 claws, Dam 1d4/1d4, Mv 40', Sv F4, Ml 7","Ape, Carnivorous: AC 14, HD 4, #At 2 claws, Dam 1d4/1d4, Mv 40', Sv F4, Ml 7, XP 240, #Ap 1d6 Wild/Lair 2d4"
9,PLANT,Assassin Vine,Assassin Vine,15,"When it hits it does 1d8 points of damage, an additional 1d8 points of damage per round automatically thereafter. The victim must save vs. Death Ray with Strength bonus to break free or fight.",6*,6,1 + special,1d8 + special,5',2d2,F6,12,U,555,Rulebook,"Assassin Vine (AC 15, HD 6*, #At 1 + special, Dam 1d8 + special, Mv 5', Sv F6, Ml 12)","Assassin Vine: AC 15, HD 6*, #At 1 + special, Dam 1d8 + special, Mv 5', Sv F6, Ml 12","Assassin Vine (AC 15, HD 6*, #At 1 + special, Dam 1d8 + special, Mv 5', Sv F6, Ml 12)","Assassin Vine: AC 15, HD 6*, #At 1 + special, Dam 1d8 + special, Mv 5', Sv F6, Ml 12","Assassin Vine: AC 15, HD 6*, #At 1 + special, Dam 1d8 + special, Mv 5', Sv F6, Ml 12, XP 555, #Ap 2d2"
9,ANIMAL,Auroch,Auroch,13,,2,2,1 butt,1d4,80' (10'),Wild 3d10,F2,5 (7),,75,Antelope in Rulebook,"Auroch (AC 13, HD 2, #At 1 butt, Dam 1d4, Mv 80' (10'), Sv F2, Ml 5 (7))","Auroch: AC 13, HD 2, #At 1 butt, Dam 1d4, Mv 80' (10'), Sv F2, Ml 5 (7)","Auroch (AC 13, HD 2, #At 1 butt, Dam 1d4, Mv 80' (10'), Sv F2, Ml 5 (7))","Auroch: AC 13, HD 2, #At 1 butt, Dam 1d4, Mv 80' (10'), Sv F2, Ml 5 (7)","Auroch: AC 13, HD 2, #At 1 butt, Dam 1d4, Mv 80' (10'), Sv F2, Ml 5 (7), XP 75, #Ap Wild 3d10"
9,HUMAN,Human Bandit,"Bandit, Human Lvl 1",11,,1,1,1 weapon,1d6 (or by weapon),40',2d12,F1,8,J,25,Rulebook,"Human Bandit (AC 11, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 40', Sv F1, Ml 8)","Human Bandit: AC 11, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 40', Sv F1, Ml 8","Human Bandit (AC 11, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 40', Sv F1, Ml 8)","Human Bandit: AC 11, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 40', Sv F1, Ml 8","Bandit, Human Lvl 1: AC 11, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 40', Sv F1, Ml 8, XP 25, #Ap 2d12"
9,HUMAN,Human Bandit Leather,"Bandit, Human Lvl 1",13,,1,1,1 weapon,1d6 (or by weapon),30',2d12,F1,8,J,25,Rulebook,"Human Bandit Leather (AC 13, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 30', Sv F1, Ml 8)","Human Bandit Leather: AC 13, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 30', Sv F1, Ml 8","Human Bandit Leather (AC 13, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 30', Sv F1, Ml 8)","Human Bandit Leather: AC 13, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 30', Sv F1, Ml 8","Bandit, Human Lvl 1: AC 13, HD 1, #At 1 weapon, Dam 1d6 (or by weapon), Mv 30', Sv F1, Ml 8, XP 25, #Ap 2d12"
9,HUMAN,Human Bandit,"Bandit, Human Lvl 2",11,,2,2,1 weapon,1d8 (or by weapon),40',2d12,F2,9,K,75,Rulebook,"Human Bandit (AC 11, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 40', Sv F2, Ml 9)","Human Bandit: AC 11, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 40', Sv F2, Ml 9","Human Bandit (AC 11, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 40', Sv F2, Ml 9)","Human Bandit: AC 11, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 40', Sv F2, Ml 9","Bandit, Human Lvl 2: AC 11, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 40', Sv F2, Ml 9, XP 75, #Ap 2d12"
9,HUMAN,Human Bandit Leather,"Bandit, Human Lvl 2",14,,2,2,1 weapon,1d8 (or by weapon),30',2d12,F2,9,K,75,Rulebook,"Human Bandit Leather (AC 14, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 30', Sv F2, Ml 9)","Human Bandit Leather: AC 14, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 30', Sv F2, Ml 9","Human Bandit Leather (AC 14, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 30', Sv F2, Ml 9)","Human Bandit Leather: AC 14, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 30', Sv F2, Ml 9","Bandit, Human Lvl 2: AC 14, HD 2, #At 1 weapon, Dam 1d8 (or by weapon), Mv 30', Sv F2, Ml 9, XP 75, #Ap 2d12"
